Course Code, Slot, Venue, Course Title, Instructor
CS 101, 6 &10, LA202, Computer Programming and Utilization
CS 104, 4C, LA202
CS 207, 5
CS 207 M, Instructor, Course Code, Slot, Room, Course Title, Instructor, Prof. Mythili Vutukuru
CS 684, 8, CC 105, Embedded Systems, Prof. K. Arya/Prof. Paritosh K. Pandya, Software Systems Lab, Prof. Kameswari Chebrolu
CS 695, 5, FCK, Topics in Virtualization and Cloud Computing, Prof. Purushottam Kulkarni, CC 103, Discrete Structures, Prof. Manoj Prabhakaran
CS 719, 3, CC 105, Topics in Mathematical Foundations of Formal, Verifications, Prof. Bharat Adsul, 5, CC 103, Discrete Structures, Prof. Manoj Prabhakaran
CS 726, 3, LA 002, Advanced Machine Learning, Prof. S. Sarawagi
CS 213, 5, LA 001, Data Structures and Algorithms, Prof. Sohoni Milind
CS 728, 9, CC 105, Organization of Web Information, Prof. Chakrabarti Soumen
CS 213 M, 5, LA 001, Data Structures and Algorithms, Prof. Sohoni Milind
CS 736, 5, CC 101, Medical Image Computing, Prof. Suyash P. Awate
CS 218, 10, LH 302, Design and Analysis of Algorithms, Prof. Rohit Gurjar
CS 745, 12, LC 201, Principles of Data and System Security, Prof. Virendra Singh
CS 224, 1, LA 001, Computer Networks, Prof. Bhaskar Raman
CS 748, 13, CC 101, Advances in Intelligent and Learning Agents, Prof. Shivaram Kalyanakrishnan
CS 228, 2, LH 102, Logic for Computer Science, Prof. Krishna Shankara, Narayanan
CS 752, 6, CC 103, System Dynamics: Modeling & Simulation for, Development, Prof. Om P. Damani
CS 230, 6, LA 001, Digital Logic Design and Computer Architecture, Prof. Biswabandan Panda
CS 753, 8, CC 103, Automatic Speech Recognition, Prof. Preethi Jyothi
CS 232, L, Digital Logic Design and Computer Architecture Lab, Prof. Biswabandan Panda
CS 759, 3, CC 101, Perfect Matchings: Algorithms and Complexity, Prof. Diwan A.A.
CS 252, L, Computer Networks Lab, Prof. Bhaskar Raman
CS 763, 14, CC 103, Computer Vision, Prof. Sharat Chandran
CS 302, 2, LH 301, Implementation of Programming Languages, Prof. Sanyal Amitabh
CS 765, 4, LA 002, Introduction to Blockchains, Cryptocurrencies and, Prof. Vinay J. Ribeiro
CS 316, L, LH 102, Implementation of Programming Languages Lab, Prof. Sanyal Amitabh
CS 766, 4, CC 105, Analysis of Concurrent Programs, Prof. Krishna Shankara Narayanan, Prof. Ashutosh Kumar Gupta
CS 317, 6, LH 102, Database and Information Systems, Prof. B. L. Menezes
CS 767, 5, CC 105, Theoretical Machine Learning, Prof. Ranade A.
CS 387, L, Database and Information Systems Lab, Prof. Sudarshan S
CS 769, 9, CC 103, Optimization in Machine Learning, Prof. G. Ramakrishnan
CS 406, 14, CC 101, Cryptography and Network Security, Prof. Manoj Prabhakaran
CS 772, 4, FCK, Deep Learning for Natural Language Processing, Prof. Bhattacharya P.
CS 419 M, 5, LC 001, Introducing to Machine Learning, Prof. Abir De
CS 775, 13, CC 105, Advanced Computer Graphics, Prof. Parag Chaudhuri
CS6002, 8, CC 101, Selected Areas of Mechanism Design, Prof. Swaprava Nath
CS 779, 11, CC 101, Extremal Combinatorics, Prof. Vishwanathan Sundar, CS 603, 9, CC 101, Geometric Algorithms, Prof. Sujoy Bhore
CS 781, 8, SIC 301
CS 681, 10, CC 101, Performance Analysis of Computer Systems and Network, Prof. Varsha Apte
