Course Code,Slot,Venue,Course Title,Instructor
CS101,6,&10,LA202 Computer Programming and Utilization,Prof. Mythili Vutukuru
CS684,8,CC105,Embedded Systems,Prof. Paritosh K. Pandya
CS104,4C,LA202,Software Systems Lab,Prof. Kameswari Chebrolu
CS695,5,FCK,Topics in Virtualization and Cloud Computing,Prof. Purushottam Kulkarni
CS207,5,CC103,Discrete Structures,Prof. Manoj Prabhakaran
CS719,3,CC105,Topics in Mathematical Foundations of Formal,Prof. Bharat Adsul
CS726,3,LA002,Advanced Machine Learning,Prof. S. Sarawagi
CS213,5,LA001,Data Structures and Algorithms,Prof. Sohoni Milind
CS728,9,CC105,Organization of Web Information,Prof. Chakrabarti Soumen
CS736,5,CC101,Medical Image Computing,Prof. Suyash P. Awate
CS218,10,LH302,Design and Analysis of Algorithms,Prof. Rohit Gurjar
CS745,12,LC201,Principles of Data and System Security,Prof. Virendra Singh
CS224,1,LA001,Computer Networks,Prof. Bhaskar Raman
CS748,13,CC101,Advances in Intelligent and Learning Agents,Prof. Shivaram Kalyanakrishnan
CS228,2,LH102,Logic for Computer Science,Prof. Krishna Shankara
CS752,6,CC103,System Dynamics: Modeling & Simulation for,Prof. Om P. Damani
CS230,6,LA001,Digital Logic Design and Computer Architecture,Prof. Biswabandan Panda
CS753,8,CC103,Automatic Speech Recognition,Prof. Preethi Jyothi
CS232,L,Digital,Logic Design and Computer Architecture Lab,Prof. Biswabandan Panda
CS759,3,CC101,Perfect Matchings: Algorithms and Complexity,Prof. Diwan A.A.
CS252,L,Computer,Networks Lab,Prof. Bhaskar Raman
CS763,14,CC103,Computer Vision,Prof. Sharat Chandran
CS302,2,LH301,Implementation of Programming Languages,Prof. Sanyal Amitabh
CS316,L,LH102,Implementation of Programming Languages Lab,Prof. Sanyal Amitabh
CS766,4,CC105,Analysis of Concurrent Programs,Prof. Krishna Shankara Narayanan
CS317,6,LH102,Database and Information Systems,Prof. B. L. Menezes
CS767,5,CC105,Theoretical Machine Learning,Prof. Ranade A.
CS387,L,Database,and Information Systems Lab,Prof. Sudarshan S
CS769,9,CC103,Optimization in Machine Learning,Prof. G. Ramakrishnan
CS406,14,CC101,Cryptography and Network Security,Prof. Manoj Prabhakaran
CS772,4,FCK,Deep Learning for Natural Language Processing,Prof. Bhattacharya P.
CS419,5,LC001,Introducing to Machine Learning,Prof. Abir De
CS775,13,CC105,Advanced Computer Graphics,Prof. Parag Chaudhuri
CS6002,8,CC101,Selected Areas of Mechanism Design,Prof. Swaprava Nath
CS779,11,CC101,Extremal Combinatorics,Prof. Vishwanathan Sundar
CS603,9,CC101,Geometric Algorithms,Prof. Sujoy Bhore
CS781,8,SIC301,Formal Methods in Machine Learning,Prof. Supratik Chakraborty
CS681,10,CC101,Performance Analysis of Computer Systems and Network,Prof. Varsha Apte
CS899,XC,-,XD SL2 Communication Skills,Prof. Varsha Apte
