Course Code,Slot,Course Title,Instructor
Course Code,Slot,NA,Venue Course Title,Instructor
CS101,6,NA,&10 Computer Programming and Utilization,Prof. Shivaram
CS613,11,NA,Design & Implementation of Functional Programming,Prof. G Sivakumar
CS104,5,NA,- LX ? Software Systems Lab,Prof. Kameswari Chebrolu
CS684,10,NA,Embedded Systems,Prof. K. Arya/Paritosh
CS207,5,NA,Discrete Structures,Prof. Bharat Adsul
CS695,5,NA,Topics in Virtualization and Cloud Computing,Prof. Purushottam Kulkarni
CS208,4,NA,Discrete Structures,Prof. Supratik Chakraborty
CS726,8,NA,Advanced Machine Learning,Prof. S. Sarawagi
CS213,5,NA,Data Structures and Algorithms,Prof. Sohoni Milind
CS728,10,NA,Organization of Web Information,Prof. Soumen Chakrabarti
CS217,6,NA,Artificial Intelligence and Machine Learning,Prof. Swaprava Nath
CS735,9,NA,Formal models for Concurrent and Asynchronous Systems,Prof. S. Akshay
CS218,1,NA,Design and Analysis of Algorithms,Prof. Rohit Gurjar
CS736,6,NA,Medical Image Computing,Prof. Suyash P. Awate
CS219,3,NA,Operating Systems,Prof. Mythili Vutukuru
CS745,12,NA,Principles of Data and System Security,Prof. Virendra Singh
CS753,12,NA,Automatic Speech Recognition,Prof. Preethi Jyothi
CS302,4,NA,Implementation of Programming Languages,Prof. Uday Khedker
CS754,8,NA,Advanced Image Processing,Prof. Ajit Rajwade
CS310,5,NA,Automata Theory,Prof. G Sivakumar
CS757,14,NA,Design and Re-engineering of Object Oriented Programs,Prof. R. K. Joshi
CS317,6,NA,Database and Information Systems,Prof. B. L. Menezes
CS767,3,NA,Theoretical Machine Learning,Prof. Ranade A.
CS769,11,NA,Optimization in Machine Learning,Prof. G. Ramakrishnan
CS406,14,NA,Cryptography and Network Security,Prof. Manoj Prabhakaran
CS772,9,NA,Deep Learning for Natural Language Processing,Prof. Bhattacharya P.
CS419,5,NA,Introducing to Machine Learning,Prof. Abir De
CS779,11,NA,Extremal Combinatorics,Prof. Vishwanathan Sundar
CS433,5,NA,Automated reasoning,Prof. Ashutosh Gupta
CS784,14,NA,Image Synthesis,Prof. Parag Chaudhuri
CS6004,6,NA,Code Optimization for Object-Oriented Languages,Prof. Manas Thakur
CS786,9,NA,Randomized Algorithms,Prof. Akash Kumar
CS603,6,NA,Geometric Algorithms,Prof. Sujoy Bhore
CS608,2,NA,Approximation Algorithms,Prof. Ajit Diwan – – – –
